,direction,energy,field,filename,functional,molecule,multiplicity,no_scf_cycles,orbital_threshold,precision,property_threshold,u_norm,u_x,u_y,u_z,walltime
408,non,-174.8061439627677,0,of_pbe_000.out,pbe,of,2,41,1e-06,1e-07,-1.0,0.076219702433,2.3292623389e-09,1.0983697702e-08,0.076219702433,4706.699
409,z,-595.3559459415596,-0.001,sf2_lda_-0001_z.out,lda,sf2,1,12,1e-06,1e-07,-1.0,0.30748295568,-1.0473403722e-08,-3.3190094527e-10,0.30748295568,10458.31
410,non,-83.287416392751,0,h2o-li_lda_000.out,lda,h2o-li,2,25,1e-06,1e-07,-1.0,0.68400440653,0.02506185122,0.060007696594,0.68090602003,2354.956
411,non,-150.8030138289608,0,ho2_pbe_000.out,pbe,ho2,2,31,1e-06,1e-07,-1.0,0.76858180826,-0.64258734143,-0.42166278544,-1.1927083343e-11,3285.909
412,z,-199.1394420131705,+0.001,mg_lda_+0001_z.out,lda,mg,1,8,1e-06,1e-07,-1.0,0.071400841346,-7.2651273805e-12,-7.6439539387e-12,0.071400841346,2461.915
413,z,-341.2399685881433,-0.001,ph2_lda_-0001_z.out,lda,ph2,2,10,1e-06,1e-07,-1.0,0.19483130579,-1.0669958547e-11,-1.0100237499e-11,0.19483130579,6668.151
414,non,-138.7897753444045,0,ch3f_lda_000.out,lda,ch3f,1,22,1e-06,1e-07,-1.0,0.66374978456,-3.7543028687e-08,9.1270896078e-06,-0.66374978449,1740.413
415,x,-342.172551031266,-0.001,alf_pbe_-0001_x.out,pbe,alf,1,9,1e-06,1e-07,-1.0,0.54216078397,-0.042176368728,1.7773887391e-10,-0.54051777917,6070.542
416,y,-515.9221891667335,+0.001,nh2cl_pbe_+0001_y.out,pbe,nh2cl,1,13,1e-06,1e-07,-1.0,0.73836047851,0.34491687811,-0.46478019166,0.45846255776,9874.431
417,y,-496.0486683748392,-0.001,sf_lda_-0001_y.out,lda,sf,2,13,1e-06,1e-07,-1.0,0.22468630236,-0.00048838020121,-0.02424537378,-0.22337380733,16762.31
418,non,-176.1036473548126,0,fh-oh_pbe_000.out,pbe,fh-oh,2,107,1e-06,1e-07,-1.0,1.2856563699,0.64506407633,1.9089131503e-07,-1.1121171876,16894.21
419,non,-459.3409467289844,0,hcl_lda_000.out,lda,hcl,1,17,1e-06,1e-07,-1.0,0.43548807994,-1.0505310383e-09,-3.9007883276e-08,0.43548807994,1220.807
420,non,-125.8415220105734,0,bh2f_pbe_000.out,pbe,bh2f,1,19,1e-06,1e-07,-1.0,0.24074250337,-5.1049035952e-08,1.3245736709e-08,-0.24074250337,1215.498
421,x,-25.88574177354144,-0.001,bh2_pbe_-0001_x.out,pbe,bh2,2,13,1e-06,1e-07,-1.0,0.20185480901,-0.020719937766,0.20078856566,-7.2208103544e-12,5066.444
422,z,-138.7891209525024,+0.001,ch3f_lda_+0001_z.out,lda,ch3f,1,10,1e-06,1e-07,-1.0,0.64500441098,-1.7963769775e-09,9.6485984099e-06,-0.64500441091,5054.321
423,y,-99.85194613148231,+0.001,hf_lda_+0001_y.out,lda,hf,1,8,1e-06,1e-07,-1.0,0.70616845374,7.8438178112e-11,0.0059180573955,0.70614365511,1984.987
424,x,-363.1112449396926,+0.001,sio_lda_+0001_x.out,lda,sio,1,11,1e-06,1e-07,-1.0,1.174013552,0.028132306768,-9.4253849201e-11,-1.1736764433,6873.159
425,x,-95.05388452239954,-0.001,ch3nh2_lda_-0001_x.out,lda,ch3nh2,1,12,1e-06,1e-07,-1.0,0.54364704682,-0.13765994423,0.5259295117,5.82335992e-10,6196.012
426,z,-198.3540720794205,-0.001,f2_lda_-0001_z.out,lda,f2,1,12,1e-06,1e-07,-1.0,0.012601574006,-9.2677009012e-11,-3.6314413294e-10,-0.012601574006,5658.348
427,y,-55.17686717582356,-0.001,nh_pbe_-0001_y.out,pbe,nh,3,12,1e-06,1e-07,-1.0,0.58306734959,-6.2562539313e-12,-0.0099531442942,0.58298239174,4953.22
428,x,-418.2024879541135,+0.001,ph2oh_pbe_+0001_x.out,pbe,ph2oh,1,11,1e-06,1e-07,-1.0,0.23503890634,-0.15150346447,-0.032600796385,-0.17671212698,9246.292
429,z,-527.3461471666772,+0.001,ar_pbe_+0001_z.out,pbe,ar,1,7,1e-06,1e-07,-1.0,0.011940836659,-1.1938846195e-11,-1.2414096553e-11,0.011940836659,3183.98
430,x,-794.9026045471807,-0.001,s2h2_lda_-0001_x.out,lda,s2h2,1,12,1e-06,1e-07,-1.0,0.45010434625,-0.040539697338,-0.0024294938764,0.44826839395,9679.96
431,x,-15.86570567956944,-0.001,beh2_pbe_-0001_x.out,pbe,beh2,1,8,1e-06,1e-07,-1.0,0.021524480648,-0.021524480648,-3.9211017768e-12,-3.870210728e-12,2073.417
432,x,-225.3406703317363,-0.001,o3_pbe_-0001_x.out,pbe,o3,1,19,1e-06,1e-07,-1.0,0.25117534874,-0.012339732394,2.7212525566e-09,-0.25087205269,14652.55
433,non,-109.4602505601512,0,n2_pbe_000.out,pbe,n2,1,13,1e-06,1e-07,-1.0,1.0337673189e-08,-9.2700852587e-12,-9.3278896743e-12,-1.0337664824e-08,758.831
434,x,-109.4602558948002,+0.001,n2_pbe_+0001_x.out,pbe,n2,1,8,1e-06,1e-07,-1.0,0.010668931362,0.010668931362,-9.3032979189e-12,3.2723578567e-10,3522.28
435,z,-78.50870402642055,+0.001,c2h4_pbe_+0001_z.out,pbe,c2h4,1,11,1e-06,1e-07,-1.0,0.03630224466,4.2797416039e-12,-6.9979355186e-12,0.03630224466,6008.29
436,x,-587.7636989886105,+0.001,nocl_lda_+0001_x.out,lda,nocl,1,19,1e-06,1e-07,-1.0,0.67006233208,0.35944109412,0.56549591398,-8.8701376596e-10,15750.9
437,x,-7.344028535030401,-0.001,li_lda_-0001_x.out,lda,li,2,9,1e-06,1e-07,-1.0,0.14377801632,-0.14377801632,-2.0030992708e-12,-1.9241961138e-12,1309.37
438,y,-418.2035710031521,+0.001,ph3o_pbe_+0001_y.out,pbe,ph3o,1,11,1e-06,1e-07,-1.0,1.3679587277,-3.1723790551e-05,0.029440996402,-1.3676418784,8405.735
439,y,-394.4286083158695,+0.001,np_lda_+0001_y.out,lda,np,1,14,1e-06,1e-07,-1.0,1.1071310124,-1.4452823433e-11,0.024717661163,-1.1068550564,7318.973
440,non,-14.6299493297667,0,be_pbe_000.out,pbe,be,1,7,1e-06,1e-07,-1.0,4.501153606e-12,-2.5523964286e-12,-2.6763095923e-12,-2.5657402874e-12,294.1846
441,z,-920.0544669441776,-0.001,cl2_pbe_-0001_z.out,pbe,cl2,1,11,1e-06,1e-07,-1.0,0.042871956912,-3.0833398839e-11,-3.1055375349e-10,-0.042871956912,10684.94
442,non,-129.562990224878,0,hno_lda_000.out,lda,hno,1,23,1e-06,1e-07,-1.0,0.6182955389,-1.0778481805e-11,-0.53113860496,0.31651406881,1309.685
443,y,-99.93376517672509,+0.001,hbo_lda_+0001_y.out,lda,hbo,1,9,1e-06,1e-07,-1.0,1.0325591627,-9.1188247106e-12,0.015126654706,-1.0324483565,2838.219
444,z,-111.7888262381962,+0.001,n2h4_pbe_+0001_z.out,pbe,n2h4,1,10,1e-06,1e-07,-1.0,1.0608147965,-2.7170719217e-11,-7.3048946216e-11,1.0608147965,6550.116
445,x,-113.6505070294121,-0.001,hcho_lda_-0001_x.out,lda,hcho,1,12,1e-06,1e-07,-1.0,0.89875043883,-0.013695223415,-1.5256684243e-11,-0.89864608838,5136.186
446,x,-128.2334827612979,+0.001,ne_lda_+0001_x.out,lda,ne,1,5,1e-06,1e-07,-1.0,0.0030497859447,0.0030497859447,-7.2638013125e-12,-6.9837481468e-12,1370.457
447,y,-436.9841561065755,+0.001,ch3sh_lda_+0001_y.out,lda,ch3sh,1,11,1e-06,1e-07,-1.0,0.65479466499,-0.47488970044,0.44049953662,0.095895693065,5856.024
448,x,-54.13680275667719,+0.001,n_lda_+0001_x.out,lda,n,4,9,1e-06,1e-07,-1.0,0.0081855155287,0.0081855155287,-4.8662261858e-12,-4.6678305409e-12,2617.08
449,y,-92.66066451486286,-0.001,hcn_lda_-0001_y.out,lda,hcn,1,12,1e-06,1e-07,-1.0,1.1817145757,-7.8616751883e-10,-0.014727652179,1.1816227972,4840.432
450,z,-26.55590234151743,-0.001,bh3_pbe_-0001_z.out,pbe,bh3,1,8,1e-06,1e-07,-1.0,0.015111069932,-4.3645750069e-12,8.7310183425e-06,-0.01511106741,2005.621
451,x,-467.6125310226037,-0.001,licl_pbe_-0001_x.out,pbe,licl,1,9,1e-06,1e-07,-1.0,2.6925605235,-0.028891766268,5.630760681e-11,-2.6924055116,4087.659
452,non,-77.18471684127059,0,c2h3_lda_000.out,lda,c2h3,2,28,1e-06,1e-07,-1.0,0.30672547636,-0.25800095813,-0.165879545,-3.7691671054e-09,2895.909
453,x,-168.6450829206685,-0.001,hconh2_lda_-0001_x.out,lda,hconh2,1,17,1e-06,1e-07,-1.0,1.5739445997,-1.5503273937,-0.27163684425,9.7298460986e-10,11973.25
454,x,-228.2582570120906,-0.001,fno_lda_-0001_x.out,lda,fno,1,19,1e-06,1e-07,-1.0,0.54851113842,0.44104849435,0.32609920975,2.2946152322e-08,11728.13
455,y,-93.90641754473016,-0.001,h2cn_pbe_-0001_y.out,pbe,h2cn,2,22,1e-06,1e-07,-1.0,0.970538911,-6.363123707e-12,-0.020125733214,-0.97033021834,19460.14
456,non,-398.0312251695659,0,sh2_lda_000.out,lda,sh2,1,18,1e-06,1e-07,-1.0,0.39801206785,-2.108945342e-08,8.049823314e-09,-0.39801206785,1209.899
457,x,-138.1278232547801,-0.001,ch2f_lda_-0001_x.out,lda,ch2f,2,16,1e-06,1e-07,-1.0,0.45165855197,0.1594246022,0.42258637434,2.65542711e-10,12397.15
458,x,-40.46812107753942,-0.001,ch4_pbe_-0001_x.out,pbe,ch4,1,8,1e-06,1e-07,-1.0,0.017446427932,-0.017446427932,-3.5856921564e-12,-3.7611265468e-12,2638.211
459,x,-175.2943555944318,+0.001,hccf_lda_+0001_x.out,lda,hccf,1,11,1e-06,1e-07,-1.0,0.20375232276,0.020025113265,-2.9645204254e-09,-0.20276588438,6811.644
460,z,-535.1195760501699,-0.001,ocl_pbe_-0001_z.out,pbe,ocl,2,18,1e-06,1e-07,-1.0,0.49954294628,-4.0752838818e-11,-1.1493618043e-09,0.49954294628,22269.2
461,x,-341.8719274658352,-0.001,ph3_lda_-0001_x.out,lda,ph3,1,9,1e-06,1e-07,-1.0,0.25791026622,-0.031683934174,-3.8199935084e-06,-0.25595670283,4174.713
462,non,-115.6422080903542,0,ch3oh_pbe_000.out,pbe,ch3oh,1,20,1e-06,1e-07,-1.0,0.62754840274,0.51709414382,0.35557087087,-1.5185050647e-09,1685.871
463,x,-168.8262107500249,+0.001,nali_lda_+0001_x.out,lda,nali,1,10,1e-06,1e-07,-1.0,0.18923281954,0.17855015534,-9.3023626859e-12,-0.062680954198,3497.492
464,y,-0.478673787197515,-0.001,h_lda_-0001_y.out,lda,h,2,5,1e-06,1e-07,-1.0,0.0060621869306,-6.3815727539e-13,-0.0060621869306,-6.4184800737e-13,508.4559
465,non,-99.25961808559981,0,bo_lda_000.out,lda,bo,2,24,1e-06,1e-07,-1.0,0.86849217274,-8.1058486781e-12,-8.2365127205e-12,-0.86849217274,2028.81
466,z,-995.1552011840527,+0.001,ocl2_pbe_+0001_z.out,pbe,ocl2,1,16,1e-06,1e-07,-1.0,0.15025524489,-1.9902031552e-08,3.166929464e-08,-0.15025524489,20292.96
467,non,-130.7576917806912,0,nh3o_lda_000.out,lda,nh3o,1,21,1e-06,1e-07,-1.0,2.0280426808,-2.5894820828e-06,-1.8194310727e-09,-2.0280426808,1629.624
468,x,-94.55579002583013,-0.001,ch2nh_pbe_-0001_x.out,pbe,ch2nh,1,11,1e-06,1e-07,-1.0,0.78078643216,-0.54036200532,-3.8324372013e-08,0.56359236674,5640.335
469,x,-154.7103663502436,-0.001,nh2f_lda_-0001_x.out,lda,nh2f,1,15,1e-06,1e-07,-1.0,0.85601214738,0.64022685631,-0.26005863902,0.50520874219,7755.408
470,non,-684.8216282038012,0,p2h4_pbe_000.out,pbe,p2h4,1,18,1e-06,1e-07,-1.0,0.38091862128,7.8524740897e-09,2.1466892643e-08,0.38091862128,2671.808
471,z,-125.8417723392829,-0.001,bh2f_pbe_-0001_z.out,pbe,bh2f,1,10,1e-06,1e-07,-1.0,0.25999201168,-4.6172194236e-10,3.6200529865e-11,-0.25999201168,5253.554
472,non,-546.3449427883255,0,so2_lda_000.out,lda,so2,1,30,1e-06,1e-07,-1.0,0.59884338539,-1.99619939e-06,-1.3832432444e-07,-0.59884338539,3306.833
473,z,-682.599383435919,-0.001,p2h4_lda_-0001_z.out,lda,p2h4,1,11,1e-06,1e-07,-1.0,0.34792028565,-3.9840962202e-10,-1.681101859e-09,0.34792028565,9931.035
474,non,-525.9461949092904,0,ar_lda_000.out,lda,ar,1,10,1e-06,1e-07,-1.0,2.1277596173e-11,-1.2089318421e-11,-1.2635231505e-11,-1.212169146e-11,730.0778
475,x,-499.910221305478,-0.001,ch3cl_pbe_-0001_x.out,pbe,ch3cl,1,9,1e-06,1e-07,-1.0,0.71653309163,-0.028194356521,3.2985994479e-09,-0.71597817681,6083.735
476,y,-130.7577021129206,-0.001,nh3o_lda_-0001_y.out,lda,nh3o,1,15,1e-06,1e-07,-1.0,2.0281122813,-1.6132029878e-05,-0.020666181395,-2.0280069857,7581.525
477,x,-273.0342546743303,+0.001,of2_lda_+0001_x.out,lda,of2,1,13,1e-06,1e-07,-1.0,0.10494832232,0.010733919952,1.3341705396e-07,0.10439795649,9001.116
478,non,-399.9145836579445,0,mg2_pbe_000.out,pbe,mg2,1,16,1e-06,1e-07,-1.0,4.4642914837e-07,-1.4765323307e-11,-1.5201472519e-11,4.4642914787e-07,1958.166
479,non,-124.5862844316936,0,bf_pbe_000.out,pbe,bf,1,20,1e-06,1e-07,-1.0,0.41248139962,-3.4344871418e-07,-1.6031280741e-06,0.41248139962,1042.196
480,non,-858.0510620149986,0,scl_pbe_000.out,pbe,scl,2,37,1e-06,1e-07,-1.0,0.070618121156,-2.0350395161e-07,2.4273843177e-07,0.070618121155,7984.943
481,non,-25.88573141460738,0,bh2_pbe_000.out,pbe,bh2,2,14,1e-06,1e-07,-1.0,0.20073214018,-4.7198406361e-12,0.20073214018,7.4812425801e-11,1260.299
482,y,-56.11043401711939,-0.001,nh3_lda_-0001_y.out,lda,nh3,1,9,1e-06,1e-07,-1.0,0.60072199956,-4.8412061237e-12,-0.014558966233,-0.60054554969,2737.735
483,z,-453.2979395732078,-0.001,hns_pbe_-0001_z.out,pbe,hns,1,26,1e-06,1e-07,-1.0,0.5261421094,0.026542725942,-0.52494731537,-0.023480184574,16185.33
484,y,-398.2851100989561,+0.001,mg2_lda_+0001_y.out,lda,mg2,1,9,1e-06,1e-07,-1.0,0.12301121177,-1.5073255149e-11,0.12301121177,-1.2636384383e-08,5978.619
485,x,-486.0672176029961,+0.001,bh2cl_pbe_+0001_x.out,pbe,bh2cl,1,10,1e-06,1e-07,-1.0,0.17426052351,0.025218035193,4.6366495816e-11,-0.17242616029,6682.266
486,y,-341.115705339464,+0.001,p_pbe_+0001_y.out,pbe,p,4,10,1e-06,1e-07,-1.0,0.027761829861,-9.0785004718e-12,0.027761829861,-9.4668295729e-12,5918.362
487,x,-379.827555569022,-0.001,hcp_pbe_-0001_x.out,pbe,hcp,1,10,1e-06,1e-07,-1.0,0.14969103133,-0.031225890992,-1.5916459297e-10,0.14639791185,5627.788
488,non,-797.2984790435726,0,s2h2_pbe_000.out,pbe,s2h2,1,27,1e-06,1e-07,-1.0,0.42946614137,4.7278993156e-08,9.9752941144e-08,0.42946614137,3482.001
489,x,-398.031238723639,-0.001,sh2_lda_-0001_x.out,lda,sh2,1,8,1e-06,1e-07,-1.0,0.39893052846,-0.027100320933,-4.3071033691e-11,-0.39800896867,3299.729
490,z,-435.7683918560099,+0.001,hchs_lda_+0001_z.out,lda,hchs,1,12,1e-06,1e-07,-1.0,0.60890142609,8.6693158043e-09,-1.5793040604e-11,-0.60890142609,6587.283
491,z,-131.6455826040145,+0.001,nh2oh_pbe_+0001_z.out,pbe,nh2oh,1,13,1e-06,1e-07,-1.0,0.24878517398,0.04214503805,0.24451861049,0.018124780929,7879.579
492,non,-56.1104267481018,0,nh3_lda_000.out,lda,nh3,1,14,1e-06,1e-07,-1.0,0.60055199188,-8.1073887165e-11,2.5950576969e-05,-0.60055199132,669.0837
493,y,-534.0172276025583,+0.001,hocl_lda_+0001_y.out,lda,hocl,1,14,1e-06,1e-07,-1.0,0.60250513293,-0.58548546518,0.020577413078,0.14069746034,8027.427
494,x,-123.8067910704767,-0.001,bf_lda_-0001_x.out,lda,bf,1,10,1e-06,1e-07,-1.0,0.41148473544,-0.022257552403,-3.4316944291e-10,0.4108823297,3703.809
495,z,-162.7386281663109,+0.001,nah_pbe_+0001_z.out,pbe,nah,1,8,1e-06,1e-07,-1.0,2.201793587,-7.7479169286e-12,-8.0993829211e-12,-2.201793587,3161.363
496,non,-2.89293549920678,0,he_pbe_000.out,pbe,he,1,7,1e-06,1e-07,-1.0,2.2381175666e-12,-1.2688816421e-12,-1.3309824473e-12,-1.2757724504e-12,226.9912
497,non,-364.5627609225088,0,sio_pbe_000.out,pbe,sio,1,20,1e-06,1e-07,-1.0,1.1412150484,-3.7079270533e-08,-2.1141651801e-07,-1.1412150484,1966.619
498,y,-421.3601137005355,-0.001,bs_lda_-0001_y.out,lda,bs,2,19,1e-06,1e-07,-1.0,0.24332511568,4.9486605969e-10,-0.031228759767,-0.24131281873,17485.38
499,y,-78.71122196747218,+0.001,bn_lda_+0001_y.out,lda,bn,3,26,1e-06,1e-07,-1.0,0.72831325118,-7.9659610232e-12,0.022894745465,-0.72795331065,15219.61
500,non,-535.769650001447,0,hocl_pbe_000.out,pbe,hocl,1,33,1e-06,1e-07,-1.0,0.58914926702,-0.56870840547,-2.077325806e-07,0.15384280412,2972.315
501,x,-223.8157809586532,+0.001,bhf2_lda_+0001_x.out,lda,bhf2,1,11,1e-06,1e-07,-1.0,0.31788533208,0.015212580988,4.8574717582e-08,0.31752112013,7725.128
502,x,-1.137500389012452,-0.001,h2_lda_-0001_x.out,lda,h2,1,4,1e-06,1e-07,-1.0,0.0052803428507,-0.0052803428507,-1.3253104054e-12,2.9979214679e-10,533.7853
503,y,-64.03437652550883,-0.001,ch2bh_lda_-0001_y.out,lda,ch2bh,1,9,1e-06,1e-07,-1.0,0.19355356837,-9.2392594453e-12,-0.025961581141,-0.19180453626,3404.873
504,y,-552.7985541710823,-0.001,clcn_pbe_-0001_y.out,pbe,clcn,1,12,1e-06,1e-07,-1.0,1.1620521059,-6.0928140832e-09,-0.023881833415,1.161806677,10420.54
505,non,-15.66058511615938,0,beh2_lda_000.out,lda,beh2,1,10,1e-06,1e-07,-1.0,2.3052093371e-11,-3.8681518621e-12,-3.9818268179e-12,-2.2373677954e-11,475.1513
506,y,-112.478193201138,-0.001,co_lda_-0001_y.out,lda,co,1,11,1e-06,1e-07,-1.0,0.090759293411,-4.9009978535e-11,-0.012608603704,0.089879210349,3930.959
507,x,-341.735047672786,+0.001,ph_pbe_+0001_x.out,pbe,ph,3,12,1e-06,1e-07,-1.0,0.16800389038,0.02857577569,-1.0684685656e-11,-0.16555582812,7684.67
508,z,-15.02203124587357,-0.001,beh_lda_-0001_z.out,lda,beh,2,9,1e-06,1e-07,-1.0,0.047964397456,-3.2822781839e-12,-3.3013009592e-12,0.047964397456,2469.409
509,z,-162.1727736015912,+0.001,na_pbe_+0001_z.out,pbe,na,2,9,1e-06,1e-07,-1.0,0.15976353221,-6.2619068848e-12,-6.7661821519e-12,0.15976353221,4045.306
510,z,-150.2595012889412,-0.001,o2_pbe_-0001_z.out,pbe,o2,3,14,1e-06,1e-07,-1.0,0.015660214223,-1.0295708965e-11,-1.0515777489e-11,-0.015660214223,10968.99
511,x,-622.297792097306,-0.001,nacl_pbe_-0001_x.out,pbe,nacl,1,9,1e-06,1e-07,-1.0,3.3403133305,-0.032837779747,2.6065850727e-10,-3.3401519166,6181.386
512,non,-113.0081586541083,0,hco_lda_000.out,lda,hco,2,38,1e-06,1e-07,-1.0,0.63008371352,0.59664760638,-0.20252683733,-1.2101185069e-06,3819.608
513,z,-389.4414865211076,+0.001,sih3f_lda_+0001_z.out,lda,sih3f,1,9,1e-06,1e-07,-1.0,0.51634831139,5.0556238633e-11,-4.2106609196e-05,0.51634830967,7023.746
514,z,-548.432222226926,-0.001,so2_pbe_-0001_z.out,pbe,so2,1,12,1e-06,1e-07,-1.0,0.60834934082,-7.6515525775e-08,-7.0871220004e-10,-0.60834934082,11740.84
515,y,-76.38853104012883,-0.001,h2o_pbe_-0001_y.out,pbe,h2o,1,9,1e-06,1e-07,-1.0,0.70642026834,-6.1844033684e-12,-0.010599365609,-0.70634074565,2306.748
516,y,-682.4255311850002,-0.001,p2_pbe_-0001_y.out,pbe,p2,1,9,1e-06,1e-07,-1.0,0.041091202537,-1.9538207991e-11,-0.041091202537,8.2811469118e-08,7239.037
517,x,-150.803662317468,-0.001,ho2_pbe_-0001_x.out,pbe,ho2,2,18,1e-06,1e-07,-1.0,0.77917737374,-0.65447491719,-0.42282379606,-1.2660502908e-11,14227.36
518,x,-2.892936291328917,-0.001,he_pbe_-0001_x.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.0015842398869,-0.0015842398869,-1.3311556448e-12,-1.2781093165e-12,585.7095
519,y,-192.5367114631204,+0.001,fcn_pbe_+0001_y.out,pbe,fcn,1,10,1e-06,1e-07,-1.0,0.91399236086,-1.1486552143e-10,0.015504166881,-0.91386085183,6926.95
520,x,-39.10892018202986,-0.001,ch2-t_pbe_-0001_x.out,pbe,ch2-t,3,10,1e-06,1e-07,-1.0,0.23260964897,-0.016563132793,-1.4774029434e-09,-0.23201920486,3649.288
521,x,-192.5367114630552,+0.001,fcn_pbe_+0001_x.out,pbe,fcn,1,10,1e-06,1e-07,-1.0,0.91399236086,0.01550416692,-5.9234632315e-10,-0.91386085184,6448.953
522,y,-39.10892034434642,-0.001,ch2-t_pbe_-0001_y.out,pbe,ch2-t,3,12,1e-06,1e-07,-1.0,0.23262729843,-6.4275278826e-12,-0.016887202681,-0.23201353917,4548.397
523,y,-2.892936291328919,-0.001,he_pbe_-0001_y.out,pbe,he,1,4,1e-06,1e-07,-1.0,0.001584239887,-1.2695139605e-12,-0.001584239887,-1.2778076359e-12,584.3595
524,z,-75.68963154581577,+0.001,oh_pbe_+0001_z.out,pbe,oh,2,10,1e-06,1e-07,-1.0,0.61798581687,-5.6891213293e-12,-5.3464265412e-12,-0.61798581687,3549.184
525,y,-150.8034445204844,-0.001,ho2_pbe_-0001_y.out,pbe,ho2,2,21,1e-06,1e-07,-1.0,0.77964980531,-0.64375267319,-0.43981395462,-1.29586857e-11,18536.5
526,z,-99.49022983905117,+0.001,licn_lda_+0001_z.out,lda,licn,1,15,1e-06,1e-07,-1.0,2.677112095,2.5015320877,-0.95327667428,0.023020982527,5156.704
527,x,-76.38853104762684,-0.001,h2o_pbe_-0001_x.out,pbe,h2o,1,8,1e-06,1e-07,-1.0,0.70642233988,-0.010614816425,-5.8282102162e-12,-0.7063425854,2274.242
528,x,-682.4255311849738,-0.001,p2_pbe_-0001_x.out,pbe,p2,1,9,1e-06,1e-07,-1.0,0.041091202536,-0.041091202536,-2.0004753288e-11,8.2811556578e-08,7245.89
529,non,-322.9273818940891,0,na2_lda_000.out,lda,na2,1,25,1e-06,1e-07,-1.0,1.2066085237e-07,-1.3236556294e-11,-1.3548303407e-11,-1.2066085088e-07,2684.543
530,non,-473.1933655934679,0,so-trip_pbe_000.out,pbe,so-trip,3,27,1e-06,1e-07,-1.0,0.53422049071,2.8398288216e-09,-6.6616437587e-10,-0.53422049071,4793.588
531,y,-622.2977920973059,-0.001,nacl_pbe_-0001_y.out,pbe,nacl,1,9,1e-06,1e-07,-1.0,3.3403133305,-1.0631047013e-11,-0.032837779636,-3.3401519166,6231.272
532,y,-341.7350476727858,+0.001,ph_pbe_+0001_y.out,pbe,ph,3,12,1e-06,1e-07,-1.0,0.16800389039,-9.3225398338e-12,0.028575775737,-0.16555582812,7611.144
533,z,-324.3735956678968,-0.001,na2_pbe_-0001_z.out,pbe,na2,1,9,1e-06,1e-07,-1.0,0.33348131867,-1.3989968453e-11,-1.4333230174e-11,-0.33348131867,5749.812
534,z,-39.79285121908252,+0.001,ch3_pbe_+0001_z.out,pbe,ch3,2,9,1e-06,1e-07,-1.0,0.017939560872,-6.3975814008e-06,-2.9619819453e-11,0.017939559731,4560.134
535,x,-112.478193201138,-0.001,co_lda_-0001_x.out,lda,co,1,11,1e-06,1e-07,-1.0,0.090759293422,-0.012608603747,-9.489008387e-11,0.089879210355,4089.815
536,x,-552.7985541710825,-0.001,clcn_pbe_-0001_x.out,pbe,clcn,1,12,1e-06,1e-07,-1.0,1.1620521056,-0.023881832952,-5.0800830256e-09,1.1618066767,10453.8
537,x,-64.03437844550199,-0.001,ch2bh_lda_-0001_x.out,lda,ch2bh,1,10,1e-06,1e-07,-1.0,0.19409709337,-0.029803493313,-7.7337707151e-12,-0.19179529045,3770.089
538,non,-511.3398674749516,0,cso_pbe_000.out,pbe,cso,1,26,1e-06,1e-07,-1.0,0.29986667003,8.6465124727e-09,-1.2065006624e-09,-0.29986667003,2980.454
539,y,-1.137500389012452,-0.001,h2_lda_-0001_y.out,lda,h2,1,4,1e-06,1e-07,-1.0,0.0052803428507,-1.2919032781e-12,-0.0052803428507,2.9979418643e-10,534.0381
540,y,-223.8157833196389,+0.001,bhf2_lda_+0001_y.out,lda,bhf2,1,10,1e-06,1e-07,-1.0,0.31811170168,-2.7122263612e-08,0.019511724819,0.31751275146,6396.099
541,x,-421.3601137005456,-0.001,bs_lda_-0001_x.out,lda,bs,2,19,1e-06,1e-07,-1.0,0.24332511568,-0.031228759842,8.467495411e-11,-0.24131281873,17136.68
542,x,-78.71121967313238,+0.001,bn_lda_+0001_x.out,lda,bn,3,23,1e-06,1e-07,-1.0,0.72822009882,0.018306308516,-7.1293669691e-12,-0.72798996655,13416.95
543,y,-123.8067910705042,-0.001,bf_lda_-0001_y.out,lda,bf,1,10,1e-06,1e-07,-1.0,0.41148473543,-7.9495369592e-11,-0.022257552954,0.41088232966,3428.302
544,x,-534.0166424903052,+0.001,hocl_lda_+0001_x.out,lda,hocl,1,10,1e-06,1e-07,-1.0,0.5812175171,-0.56415885174,-4.8875729099e-08,0.13978051434,5679.052
545,z,-113.0081658994177,-0.001,hco_lda_-0001_z.out,lda,hco,2,20,1e-06,1e-07,-1.0,0.63024037767,0.59665481951,-0.20250695475,-0.014031866655,15703.66
546,non,-451.7202801753351,0,hns_lda_000.out,lda,hns,1,47,1e-06,1e-07,-1.0,0.54429558489,0.010709550799,-0.54419021421,-9.7826156548e-07,3887.937
547,y,-398.0312379822067,-0.001,sh2_lda_-0001_y.out,lda,sh2,1,9,1e-06,1e-07,-1.0,0.39883063528,7.5206889342e-11,-0.025615673535,-0.39800717696,3672.621
548,z,-422.0313291239407,-0.001,hbs_lda_-0001_z.out,lda,hbs,1,10,1e-06,1e-07,-1.0,0.42633983265,-1.039236477e-10,-2.5574199673e-12,0.42633983265,5777.627
549,z,-77.25890902198469,-0.001,c2h2_pbe_-0001_z.out,pbe,c2h2,1,9,1e-06,1e-07,-1.0,0.03194991996,-3.9877187842e-11,-7.2422201185e-11,-0.03194991996,3886.867
